age(kyr) mean(permil) sigma(permil)
21.200000 4.890565 0.110999
21.300000 4.882849 0.113534
21.400000 4.874903 0.116334
21.500000 4.867135 0.119631
21.600000 4.859672 0.122924
21.700000 4.852793 0.125592
21.800000 4.846783 0.127596
21.900000 4.841330 0.128861
22.000000 4.836623 0.129286
22.100000 4.832568 0.128867
22.200000 4.828649 0.127603
22.300000 4.825340 0.126001
22.400000 4.822693 0.124290
22.500000 4.820030 0.122566
22.600000 4.817481 0.120799
22.700000 4.815124 0.119041
22.800000 4.812189 0.117473
22.900000 4.808653 0.116278
23.000000 4.804657 0.115426
23.100000 4.800341 0.114804
23.200000 4.796053 0.114403
23.300000 4.791952 0.114248
23.400000 4.788045 0.114334
23.500000 4.785022 0.114163
23.600000 4.782439 0.113214
23.700000 4.780165 0.111664
23.800000 4.779034 0.109797
23.900000 4.778673 0.107479
24.000000 4.778783 0.104888
24.100000 4.778889 0.102276
24.200000 4.778898 0.100041
24.300000 4.778333 0.098555
24.400000 4.777627 0.097764
24.500000 4.776468 0.097485
24.600000 4.775513 0.097500
24.700000 4.774903 0.097630
24.800000 4.774940 0.097739
24.900000 4.775354 0.097555
25.000000 4.776314 0.097139
25.100000 4.777593 0.096522
25.200000 4.778998 0.095994
25.300000 4.780379 0.095711
25.400000 4.781398 0.095118
25.500000 4.781931 0.094036
25.600000 4.781978 0.092470
25.700000 4.781432 0.090786
25.800000 4.780155 0.089350
25.900000 4.778413 0.088332
26.000000 4.776307 0.087823
26.100000 4.773859 0.087737
26.200000 4.771241 0.088425
26.300000 4.768036 0.090056
26.400000 4.764410 0.092201
26.500000 4.760101 0.094736
26.600000 4.755059 0.097240
26.700000 4.749323 0.099590
26.800000 4.743057 0.101739
26.900000 4.736426 0.103222
27.000000 4.729782 0.104047
27.100000 4.723599 0.104415
27.200000 4.717800 0.104872
27.300000 4.712346 0.105737
27.400000 4.707110 0.106686
27.500000 4.701951 0.107644
27.600000 4.696835 0.108837
27.700000 4.691680 0.110629
27.800000 4.686429 0.113063
27.900000 4.681306 0.115650
28.000000 4.676594 0.118255
28.100000 4.672092 0.120721
28.200000 4.668059 0.122734
28.300000 4.664415 0.124561
28.400000 4.660975 0.126503
28.500000 4.657605 0.128230
28.600000 4.654301 0.129326
28.700000 4.650768 0.129782
28.800000 4.647469 0.129219
28.900000 4.644387 0.127562
29.000000 4.641467 0.124780
29.100000 4.638482 0.121222
29.200000 4.635614 0.118074
29.300000 4.632999 0.115674
29.400000 4.630719 0.113394
29.500000 4.628685 0.111380
29.600000 4.626923 0.109723
29.700000 4.625355 0.108574
29.800000 4.623672 0.107907
29.900000 4.621624 0.107402
30.000000 4.619322 0.106858
30.100000 4.616684 0.105962
30.200000 4.613758 0.104883
30.300000 4.610319 0.103847
30.400000 4.606356 0.102962
30.500000 4.601487 0.102680
30.600000 4.596138 0.103135
30.700000 4.589949 0.104223
30.800000 4.582676 0.105934
30.900000 4.574228 0.108172
31.000000 4.564926 0.111085
31.100000 4.555245 0.114626
31.200000 4.545385 0.118445
31.300000 4.535445 0.121995
31.400000 4.526287 0.124853
31.500000 4.518169 0.127019
31.600000 4.510629 0.129020
31.700000 4.504044 0.130459
31.800000 4.498904 0.131123
31.900000 4.494549 0.131580
32.000000 4.490869 0.131797
32.100000 4.487675 0.131552
32.200000 4.484851 0.131390
32.300000 4.482016 0.131864
32.400000 4.479247 0.132862
32.500000 4.476453 0.134084
32.600000 4.473412 0.135133
32.700000 4.470189 0.135375
32.800000 4.467095 0.135042
32.900000 4.464078 0.134538
33.000000 4.461075 0.133883
33.100000 4.458133 0.132876
33.200000 4.455321 0.131375
33.300000 4.452889 0.129447
33.400000 4.450997 0.127069
33.500000 4.449284 0.124130
33.600000 4.447915 0.121228
33.700000 4.446614 0.118400
33.800000 4.445392 0.115768
33.900000 4.444088 0.113356
34.000000 4.443249 0.111188
34.100000 4.442692 0.109155
34.200000 4.442154 0.107169
34.300000 4.441037 0.105151
34.400000 4.439266 0.102965
34.500000 4.436623 0.100658
34.600000 4.433131 0.098399
34.700000 4.429263 0.096483
34.800000 4.425605 0.095344
34.900000 4.422368 0.094502
35.000000 4.419422 0.093781
35.100000 4.416869 0.092831
35.200000 4.414965 0.091894
35.300000 4.413932 0.091444
35.400000 4.413879 0.091559
35.500000 4.415047 0.092157
35.600000 4.417402 0.092889
35.700000 4.420611 0.093761
35.800000 4.424801 0.094700
35.900000 4.429155 0.095856
36.000000 4.433485 0.097291
36.100000 4.437710 0.098823
36.200000 4.441908 0.100612
36.300000 4.445856 0.102694
36.400000 4.449564 0.104649
36.500000 4.453500 0.106183
36.600000 4.457362 0.107329
36.700000 4.461052 0.108242
36.800000 4.464232 0.109091
36.900000 4.467236 0.109956
37.000000 4.469640 0.110837
37.100000 4.471686 0.111743
37.200000 4.473021 0.112586
37.300000 4.473821 0.113469
37.400000 4.474622 0.114284
37.500000 4.475107 0.115095
37.600000 4.475419 0.115755
37.700000 4.475603 0.116235
37.800000 4.475635 0.116743
37.900000 4.475187 0.117227
38.000000 4.474306 0.117724
38.100000 4.473033 0.118182
38.200000 4.471488 0.118612
38.300000 4.469653 0.119145
38.400000 4.467376 0.119629
38.500000 4.465085 0.120106
38.600000 4.462714 0.120543
38.700000 4.460310 0.120861
38.800000 4.457646 0.121053
38.900000 4.454926 0.121096
39.000000 4.452288 0.121107
39.100000 4.449599 0.121029
39.200000 4.447148 0.120886
39.300000 4.445210 0.120875
39.400000 4.443800 0.121058
39.500000 4.442705 0.121246
39.600000 4.441925 0.121381
39.700000 4.441562 0.121475
39.800000 4.441639 0.121424
39.900000 4.441945 0.121199
40.000000 4.442531 0.121018
40.100000 4.443380 0.120929
40.200000 4.444085 0.120818
40.300000 4.444660 0.120637
40.400000 4.445004 0.120384
40.500000 4.445221 0.120081
40.600000 4.445312 0.119627
40.700000 4.445172 0.119006
40.800000 4.444588 0.118430
40.900000 4.443730 0.117949
41.000000 4.442290 0.117565
41.100000 4.440380 0.117320
41.200000 4.438250 0.117102
41.300000 4.435695 0.116890
41.400000 4.432734 0.116627
41.500000 4.429721 0.116383
41.600000 4.426855 0.116146
41.700000 4.424020 0.115796
41.800000 4.421472 0.115294
41.900000 4.419167 0.114578
42.000000 4.416796 0.113723
42.100000 4.414407 0.112805
42.200000 4.412230 0.111832
42.300000 4.410318 0.110829
42.400000 4.408475 0.109759
42.500000 4.406458 0.108575
42.600000 4.404289 0.107382
42.700000 4.401980 0.106333
42.800000 4.399604 0.105392
42.900000 4.397452 0.104506
43.000000 4.396004 0.103593
43.100000 4.395006 0.102663
43.200000 4.394134 0.101707
43.300000 4.393210 0.100838
43.400000 4.392480 0.100048
43.500000 4.392043 0.099506
43.600000 4.391694 0.099135
43.700000 4.391625 0.098865
43.800000 4.391842 0.098722
43.900000 4.391845 0.098714
