depth	age	error	dR	dSTD	cc
0.03	3.88	0.04	0	0.2	2
0.13	6.54	0.04	0	0.2	2
0.2	9.6	0.08	0	0.2	2
0.265	9.75	0.04	0	0.2	2
0.295	10.85	0.035	0	0.2	2
0.33	13.35	0.05	0	0.2	2
0.43	16.6	0.31	0	0.2	2
0.6	18.75	0.07	0	0.2	2
0.83	23.7	0.12	0	0.2	2
0.97	26.5	0.24	0	0.2	2
1.17	29.9	0.21	0	0.2	2
1.33	32.4	0.18	0	0.2	2
1.53	38.8	0.34	0	0.2	2
