depth	age	error	dR	dSTD	cc
0.115	4.785	0.03	0	0.2	2
0.155	7.445	0.035	0	0.2	2
0.195	8.115	0.035	0	0.2	2
0.235	10.945	0.05	0	0.2	2
0.475	14.395	0.05	0	0.2	2
0.495	14.565	0.04	0	0.2	2
0.535	14.795	0.045	0	0.2	2
0.675	16.18	0.06	0	0.2	2
0.775	16.72	0.07	0	0.2	2
0.815	16.78	0.22	0	0.2	2
0.875	17.56	0.08	0	0.2	2
1.035	18.94	0.07	0	0.2	2
