depth	age	error	dR	dSTD	cc
0.08	2.66	0.05	0	0.2	2
0.2	5.74	0.06	0	0.2	2
0.52	9.66	0.05	0	0.2	2
0.87	12.58	0.1	0	0.2	2
0.97	12.96	0.09	0	0.2	2
1.72	16.12	0.16	0	0.2	2
2.09	20.54	0.35	0	0.2	2
2.74	25.05	0.2	0	0.2	2
2.92	27.82	0.29	0	0.2	2
3.37	31.69	0.45	0	0.2	2
3.84	33.4	1.84	0	0.2	2
4.62	38.6	0.9	0	0.2	2
