depth	age	error	dr	dst	cc
0.01	5.34	0.12	0	.2	2
0.09	6.66	0.11	0	.2	2
0.25	8.9	0.13	0	.2	2
0.35	10.05	0.18	0	.2	2
0.45	9.8	0.15	0	.2	2
0.55	10.64	0.16	0	.2	2
0.65	12.02	0.17	0	.2	2
0.75	13.44	0.25	0	.2	2
0.83	14.6	0.18	0	.2	2
0.87	14.92	0.22	0	.2	2
0.99	15.66	0.2	0	.2	2
1.14	16.7	0.26	0	.2	2
1.3	17.78	0.22	0	.2	2
1.54	20.16	0.3	0	.2	2
1.65	21.54	0.37	0	.2	2
1.66	22.06	0.28	0	.2	2
1.75	21.47	0.36	0	.2	2
1.76	22.03	0.25	0	.2	2
1.99	24.51	0.32	0	.2	2
2.25	26.27	0.46	0	.2	2
2.52	29.27	0.6	0	.2	2
