depth	age	error	dR	dSTD	cc
0.005	3.37	0.03	0	0.2	2
0.005	3.96	0.02	0	0.2	2
0.885	4.58	0.035	0	0.2	2
1.405	7.68	0.05	0	0.2	2
1.665	6.87	0.045	0	0.2	2
1.665	9.26	0.04	0	0.2	2
2.005	7.71	0.04	0	0.2	2
2.005	8.8	0.03	0	0.2	2
2.245	11.35	0.055	0	0.2	2
2.335	12.6	0.06	0	0.2	2
2.705	13.7	0.045	0	0.2	2
2.925	14.75	0.06	0	0.2	2
3.245	16.25	0.07	0	0.2	2
3.685	19.4	0.085	0	0.2	2
4.045	21.4	0.11	0	0.2	2
