depth	age	error	dr	dst	cc
0.045	2.08	0.025	0	0.2	2
0.165	6.09	0.025	0	0.2	2
0.245	8.5	0.02	0	0.2	2
0.485	12.61	0.03	0	0.2	2
0.565	13.205	0.035	0	0.2	2
0.805	14.69	0.045	0	0.2	2
0.845	14.475	0.04	0	0.2	2
0.885	14.35	0.045	0	0.2	2
0.965	14.535	0.045	0	0.2	2
1.045	15.475	0.05	0	0.2	2
1.125	15.42	0.05	0	0.2	2
1.245	16.57	0.06	0	0.2	2
1.285	15.495	0.045	0	0.2	2
1.365	15.75	0.045	0	0.2	2
