depth	age	error	dR	dSTD	cc
0.06	1.72	0.035	0	0.2	2
0.5	5.695	0.035	0	0.2	2
1.05	8.17	0.05	0	0.2	2
1.7	10.15	0.08	0	0.2	2
2	10.62	0.06	0	0.2	2
2.75	11.61	0.06	0	0.2	2
3.1	12.77	0.06	0	0.2	2
4	13.95	0.08	0	0.2	2
5	14.45	0.11	0	0.2	2
6	14.92	0.08	0	0.2	2
6.7	15.48	0.07	0	0.2	2
7.15	18.01	0.09	0	0.2	2
7.55	20.22	0.1	0	0.2	2
