depth	age	error	dR	dSTD	cc
0.22	4.45	0.02	0	0.2	2
0.82	10.3	0.045	0	0.2	2
0.94	11.1	0.045	0	0.2	2
1.33	12.15	0.065	0	0.2	2
1.45	13.05	0.045	0	0.2	2
1.49	13.1	0.06	0	0.2	2
1.59	14.3	0.065	0	0.2	2
1.69	15.75	0.075	0	0.2	2
1.82	17.7	0.04	0	0.2	2
1.85	18.05	0.095	0	0.2	2
2.41	20.4	0.075	0	0.2	2
2.81	23.7	0.15	0	0.2	2
