depth	d18O
14.48	4.2
14.52	4.62
14.52	4.67
14.56	4.82
14.56	4.7
14.6	4.8
14.64	4.58
14.64	4.73
14.68	4.47
14.68	4.65
14.72	4.58
14.72	4.48
14.76	4.53
14.76	4.77
14.76	4.68
14.76	4.92
14.8	4.54
14.8	4.54
14.84	4.46
14.84	4.31
14.88	4.49
14.92	4.56
14.92	4.53
14.96	4.65
15	4.49
15.04	4.64
15.04	4.79
15.08	4.43
15.12	4.74
15.12	4.8
15.16	4.54
15.16	4.67
15.16	4.65
15.2	4.48
15.24	4.41
15.28	4.53
15.28	4.46
15.32	4.42
15.32	4.58
15.36	4.36
15.36	4.54
15.4	4.36
15.44	4.39
15.48	4.36
15.52	3.92
15.52	4.22
15.56	4.23
15.6	4.23
15.64	4.08
15.68	4.41
15.72	4.14
15.72	4.42
15.76	4.52
15.8	4.54
15.84	4.3
15.84	4.6
15.88	4.24
15.88	4.57
15.92	4.67
15.96	4.45
16	4.55
