depth	d18O
0.01	3.24
0.01	3.45
0.01	3.85
0.01	3.41
0.01	3.41
0.02	3.46
0.02	3.91
0.02	3.69
0.02	3.55
0.05	3.49
0.1	3.78
0.1	3.67
0.1	3.74
0.1	3.8
0.1	3.99
0.145	3.91
0.145	4.11
0.145	3.85
0.15	3.67
0.2	3.92
0.2	3.91
0.2	4.03
0.275	4.41
0.325	4.46
0.375	4.52
0.4	4.26
0.425	4.48
0.425	4.43
0.45	4.37
0.45	4.42
0.45	4.62
0.45	4.48
0.475	4.53
0.5	4.62
0.5	4.86
0.525	4.76
0.525	4.78
0.85	4.81
0.85	5.09
0.9	4.93
0.95	5.04
0.975	4.88
1.11	5.18
1.11	4.94
1.19	5.26
1.35	5.06
1.35	5.2
1.35	5.12
1.35	5.21
1.39	4.96
1.64	5.47
1.68	5.39
1.72	5.28
2	5.12
