depth	d18O
0.02	2.36
0.04	2.68
0.08	2.61
0.1	2.28
0.14	2.31
0.18	2.43
0.22	2.27
0.26	2.4
0.3	2.4
0.34	2.64
0.38	2.3
0.42	2.34
0.5	2.45
0.54	2.5
0.58	2.4
0.66	2.6
0.7	2.69
0.7	2.84
0.74	2.51
0.78	2.82
0.82	2.62
0.86	3.27
0.9	3.22
0.94	3.22
0.96	3.68
0.98	3.33
1.02	3.37
1.04	3.47
1.06	3.55
1.08	3.42
1.1	3.49
1.14	3.2
1.15	3.55
1.16	3.23
1.18	3.5
1.18	3.51
1.19	3.59
1.21	3.24
1.21	2.95
1.23	2.76
1.25	3.29
1.27	3.54
1.29	3.35
1.37	3.66
1.39	3.69
1.41	3.53
1.43	3.81
1.45	3.76
1.47	3.49
1.47	4.07
1.48	3.77
1.51	3.82
1.52	3.9
1.53	3.94
1.55	4.03
1.57	4.08
1.59	4.03
1.61	4.48
1.63	4.35
1.65	4.28
1.67	4.41
1.69	4.34
1.71	4.41
1.73	4.33
1.75	4.44
1.77	4.29
1.81	4.3
1.85	4.26
1.89	4.22
1.93	3.87
1.95	4.32
1.97	4.3
2.01	4.24
2.05	4.17
2.09	3.7
2.13	4.24
2.17	4
2.21	3.74
2.25	4.25
2.29	4.1
2.45	3.86
2.49	3.97
