Depth	d18O
0.045	2.52
0.085	2.3
0.125	2.62
0.125	2.47
0.165	2.56
0.165	2.44
0.205	3.32
0.245	3.16
0.245	3.17
0.245	3.25
0.285	2.81
0.285	3.26
0.325	2.75
0.325	3.17
0.325	3.17
0.365	3.05
0.405	3.34
0.445	3.56
0.485	3.63
0.485	3.69
0.485	3.74
0.525	3.83
0.525	4.68
0.565	3.7
0.565	3.73
0.565	3.73
0.605	3.86
0.605	3.84
0.645	4.11
0.645	3.94
0.685	3.96
0.685	3.97
0.725	4.15
0.725	3.89
0.735	3.88
0.765	4.01
0.765	4.04
0.805	4.35
0.845	4.17
0.885	3.81
0.925	4.42
0.925	4.33
0.965	4.31
1.005	4.43
1.005	4.6
1.045	3.95
1.085	4.48
1.085	4.51
1.125	4.47
1.165	4.51
1.165	4.7
1.205	4.54
1.285	4.48
1.325	4.55
1.325	4.59
1.365	4.44
1.405	4.46
1.405	4.65
1.445	4.45
1.445	4.57
1.445	4.5
1.485	4.51
1.485	4.51
1.525	4.49
1.605	4.46
1.685	4.27
1.765	4.37
