depth	age	error	dr	dst	cc
0.055	2.935	0.02	0	0.2	2
0.105	4.155	0.025	0	0.2	2
0.255	7.515	0.025	0	0.2	2
0.355	10.64	0.025	0	0.2	2
0.455	9.385	0.03	0	0.2	2
0.605	3.585	0.02	0	0.2	2
0.705	9.18	0.07	0	0.2	2
0.715	5.54	0.025	0	0.2	2
0.805	10.84	0.32	0	0.2	2
0.905	4.805	0.045	0	0.2	2
0.955	4.245	0.035	0	0.2	2
1.055	7.23	0.1	0	0.2	2
1.155	12.78	0.17	0	0.2	2
1.205	14.34	0.25	0	0.2	2
1.355	16.27	0.37	0	0.2	2
1.455	13.6	0.3	0	0.2	2
1.705	17.27	0.08	0	0.2	2
1.74	17.74	0.16	0	0.2	2
