age(kyr) mean(permil) sigma(permil)
21.200000 4.616237 0.211089
21.300000 4.617165 0.212580
21.400000 4.618336 0.212416
21.500000 4.619610 0.210933
21.600000 4.620935 0.208868
21.700000 4.622126 0.206814
21.800000 4.623290 0.205170
21.900000 4.624166 0.204447
22.000000 4.624826 0.204509
22.100000 4.625062 0.205350
22.200000 4.624750 0.206593
22.300000 4.623996 0.207723
22.400000 4.622479 0.208531
22.500000 4.620626 0.208790
22.600000 4.618375 0.208485
22.700000 4.616145 0.207572
22.800000 4.614005 0.205983
22.900000 4.612099 0.203861
23.000000 4.610405 0.201102
23.100000 4.609188 0.197959
23.200000 4.608290 0.194660
23.300000 4.607564 0.191472
23.400000 4.607377 0.188855
23.500000 4.607346 0.186883
23.600000 4.607142 0.185694
23.700000 4.606942 0.185188
23.800000 4.606882 0.185063
23.900000 4.606745 0.185283
24.000000 4.606691 0.185507
24.100000 4.606813 0.185661
24.200000 4.607067 0.185573
24.300000 4.607538 0.184997
24.400000 4.608309 0.184007
24.500000 4.608962 0.182540
24.600000 4.609820 0.180686
24.700000 4.610614 0.178410
24.800000 4.610821 0.175701
24.900000 4.610506 0.172786
25.000000 4.609909 0.169666
25.100000 4.608903 0.166527
25.200000 4.607454 0.163428
25.300000 4.606004 0.160203
25.400000 4.604456 0.157020
25.500000 4.602932 0.153830
25.600000 4.601467 0.150887
25.700000 4.600332 0.148147
25.800000 4.599407 0.145566
25.900000 4.598677 0.143198
26.000000 4.598218 0.140860
26.100000 4.597878 0.138834
26.200000 4.597514 0.137039
26.300000 4.597139 0.135472
26.400000 4.596843 0.134511
26.500000 4.596498 0.133823
26.600000 4.595973 0.133470
26.700000 4.595359 0.133590
26.800000 4.594685 0.133892
26.900000 4.593838 0.134787
27.000000 4.592788 0.136098
27.100000 4.591760 0.137971
27.200000 4.590780 0.139909
27.300000 4.589785 0.141782
27.400000 4.588763 0.143707
27.500000 4.587787 0.145777
27.600000 4.586891 0.148056
27.700000 4.585970 0.150538
27.800000 4.585133 0.153193
27.900000 4.584360 0.156269
28.000000 4.583666 0.159629
28.100000 4.583013 0.163041
28.200000 4.582361 0.166647
28.300000 4.581686 0.170224
28.400000 4.581039 0.173821
28.500000 4.580417 0.177445
28.600000 4.579770 0.181050
28.700000 4.579182 0.184731
28.800000 4.578619 0.188370
28.900000 4.578091 0.192098
29.000000 4.577571 0.195774
29.100000 4.577072 0.199458
29.200000 4.576579 0.203166
29.300000 4.576088 0.206833
29.400000 4.575624 0.210459
29.500000 4.575198 0.214057
29.600000 4.574772 0.217599
29.700000 4.574347 0.221087
29.800000 4.573922 0.224523
29.900000 4.573462 0.227900
30.000000 4.572951 0.231216
