depth	d18O
12.58	3.79
12.605	3.68
12.635	3.78
12.675	3.69
12.68	3.9
12.685	3.68
12.745	3.76
12.78	3.85
12.83	3.71
12.875	3.76
12.88	3.79
12.885	3.59
12.915	3.77
12.94	3.76
12.98	3.84
13.015	3.73
13.075	3.66
13.08	3.88
13.085	3.68
13.095	3.81
13.135	3.77
13.18	3.91
13.185	3.7
13.195	3.72
13.215	3.67
13.235	3.62
13.28	3.87
13.325	3.65
13.38	3.79
13.43	3.56
13.48	3.82
13.525	3.86
13.535	3.66
13.58	3.89
13.68	3.81
13.705	3.62
13.74	3.76
13.795	3.47
13.815	3.66
13.835	3.71
13.88	3.96
13.915	3.71
13.98	3.94
14.08	3.96
14.105	3.89
14.125	3.75
14.155	3.8
14.18	3.91
14.185	3.64
14.205	3.66
14.215	3.61
14.255	3.58
14.28	3.78
14.38	3.83
14.44	3.52
14.48	3.73
14.505	3.55
14.58	3.69
14.605	3.63
14.625	3.59
14.68	3.62
14.685	3.63
14.705	3.6
14.75	3.84
14.78	3.76
14.815	3.88
14.85	3.75
14.885	3.73
14.95	3.81
14.985	3.74
15.05	3.57
15.085	3.64
15.125	3.58
15.15	3.59
15.18	3.68
15.27	3.44
15.28	3.58
15.365	3.85
15.365	3.69
15.38	3.94
15.415	3.87
15.415	3.63
15.425	3.61
15.435	3.66
15.48	3.92
15.505	3.8
15.545	3.64
15.565	3.77
15.58	3.88
15.615	3.86
15.645	3.72
15.68	3.73
15.715	3.27
15.78	3.66
15.805	3.61
15.845	3.62
15.865	3.58
15.88	3.7
15.885	3.6
15.895	3.62
15.925	3.56
15.945	3.49
15.98	3.59
15.985	3.43
15.995	3.43
16.035	3.63
16.045	3.36
16.08	3.45
16.105	3.43
16.18	3.52
16.195	3.55
16.23	3.54
16.28	3.54
16.305	3.56
16.305	3.37
16.33	3.46
16.38	3.53
16.415	3.49
16.44	3.5
16.48	3.67
16.535	3.56
16.58	3.49
16.63	3.5
16.68	3.5
16.735	3.22
16.78	3.59
16.83	3.5
16.88	3.49
16.905	3.38
16.965	3.4
16.98	3.49
17.08	3.43
17.18	3.52
17.28	3.45
17.38	3.36
17.435	3.47
17.48	3.46
17.535	3.34
17.595	3.38
17.645	3.45
17.78	3.72
17.805	3.64
17.88	3.62
17.905	3.66
17.98	3.72
18.045	3.78
18.105	3.53
18.13	3.69
18.155	3.74
18.18	3.77
18.205	3.81
18.355	3.96
18.355	3.65
18.415	3.48
18.425	3.6
18.44	3.64
