depth	age	error	dr	dst	cc
0.105	4.56	0.015	0	0.2	2
0.155	6.48	0.015	0	0.2	2
0.205	8.735	0.02	0	0.2	2
0.255	10.315	0.02	0	0.2	2
0.305	11.69	0.025	0	0.2	2
0.355	12.44	0.03	0	0.2	2
0.405	12.705	0.03	0	0.2	2
0.455	13.335	0.035	0	0.2	2
0.555	15.215	0.05	0	0.2	2
0.605	15.875	0.045	0	0.2	2
0.705	17.23	0.06	0	0.2	2
0.755	17.64	0.06	0	0.2	2
0.805	18.21	0.07	0	0.2	2
