depth	d18O
0.06	2.65
0.06	2.7
0.09	2.73
0.09	2.72
0.09	2.73
0.13	2.81
0.13	3.31
0.13	3.54
0.17	3.62
0.17	3.51
0.17	2.91
0.21	3.21
0.21	3.86
0.21	3.24
0.25	4.87
0.25	4.31
0.29	4.26
0.29	4.38
0.29	4.05
0.33	2.73
0.33	4.46
0.33	4.35
0.37	4.48
0.37	4.43
0.37	3.94
0.41	4.71
0.41	4.79
0.41	4.06
0.45	4.84
0.45	4.63
0.45	4.65
0.49	4.6
0.49	4.81
0.49	4.58
0.53	4.64
0.53	4.72
0.53	4.61
0.57	4.52
0.57	4.53
0.57	4.6
0.61	4.56
0.61	4.75
0.61	4.23
0.65	4.54
0.65	4.68
0.69	4.73
0.69	4.62
0.73	4.78
0.73	4.51
0.77	4.62
0.77	4.78
0.81	4.67
0.81	4.66
0.85	4.76
0.85	4.49
0.89	4.56
0.89	4.51
0.93	4.65
0.93	4.5
0.97	4.59
0.97	4.49
